participant,Image,Rule,CorrectResponse,Trialnr,TrialType,Context,accuracy,rt,AgeGroup,accuracy01
1,car.png,ACTION,drive,32,SingleNaming,SingleA,1,976.8,Older,1
1,book.png,ACTION,read,47,switch,Dual,1,979.2,Older,1
1,shovel.png,ACTION,dig,20,SingleNaming,SingleB,1,982.2,Older,1
1,dart.png,ACTION,throw,119,nonswitch,Dual,1,983.4,Older,1
1,pool.png,ACTION,swim,31,SingleNaming,SingleA,1,985.5,Older,1
1,pool.png,ACTION,swim,138,switch,Dual,1,989.9,Older,1
1,axe.png,ACTION,chop,123,switch,Dual,1,991.5,Older,1
1,book.png,ACTION,read,17,SingleNaming,SingleB,1,993.9,Older,1
1,ladder.png,ACTION,climb,26,SingleNaming,SingleA,1,1003.3,Older,1
1,glass.png,ACTION,drink,120,nonswitch,Dual,1,1006.1,Older,1
1,plane.png,ACTION,fly,147,nonswitch,Dual,1,1012.8,Older,1
1,plane.png,ACTION,fly,33,SingleNaming,SingleA,1,1016.2,Older,1
1,needle.png,ACTION,sew,40,nonswitch,Dual,1,1030.4,Older,1
1,shovel.png,ACTION,dig,40,SingleNaming,SingleA,1,1033.6,Older,1
1,glass.png,ACTION,drink,135,switch,Dual,1,1038.4,Older,1
1,book.png,ACTION,read,127,switch,Dual,1,1040.2,Older,1
1,axe.png,ACTION,chop,2,SingleNaming,SingleB,1,1048.3,Older,1
1,scissors.png,ACTION,cut,30,SingleNaming,SingleA,1,1067.8,Older,1
1,keyboard.png,ACTION,type,108,nonswitch,Dual,1,1077.2,Older,1
1,pipe.png,ACTION,smoke,89,switch,Dual,1,1087.7,Older,1
1,pipe.png,ACTION,smoke,28,SingleNaming,SingleA,1,1095.5,Older,1
1,shovel.png,ACTION,dig,118,switch,Dual,1,1097,Older,1
1,football.png,ACTION,kick,55,switch,Dual,1,1098.2,Older,1
1,book.png,ACTION,read,87,nonswitch,Dual,1,1100.4,Older,1
1,kettle.png,ACTION,boil,5,SingleNaming,SingleB,1,1105.1,Older,1
1,plane.png,ACTION,fly,58,switch,Dual,1,1108.5,Older,1
1,razor.png,ACTION,shave,6,SingleNaming,SingleB,1,1109.9,Older,1
1,football.png,ACTION,kick,35,SingleNaming,SingleA,2,1113.7,Older,0
1,plane.png,ACTION,fly,13,SingleNaming,SingleB,1,1125.1,Older,1
1,pipe.png,ACTION,smoke,17,nonswitch,Dual,1,1132.8,Older,1
1,chair.png,ACTION,sit,32,nonswitch,Dual,1,1139.6,Older,1
1,book.png,ACTION,read,28,nonswitch,Dual,1,1140.6,Older,1
1,car.png,ACTION,drive,75,nonswitch,Dual,1,1145.4,Older,1
1,chair.png,ACTION,sit,92,switch,Dual,1,1148.5,Older,1
1,kettle.png,ACTION,boil,25,SingleNaming,SingleA,1,1163.5,Older,1
1,plane.png,ACTION,fly,130,switch,Dual,1,1163.7,Older,1
1,axe.png,ACTION,chop,56,nonswitch,Dual,1,1166.8,Older,1
1,football.png,ACTION,kick,48,nonswitch,Dual,1,1171.7,Older,1
1,dart.png,ACTION,throw,38,switch,Dual,1,1174.9,Older,1
1,keyboard.png,ACTION,type,7,SingleNaming,SingleB,1,1178.7,Older,1
1,bell.png,ACTION,ring,68,nonswitch,Dual,1,1184,Older,1
1,axe.png,ACTION,chop,22,SingleNaming,SingleA,1,1189.2,Older,1
1,chair.png,ACTION,sit,144,nonswitch,Dual,1,1196.8,Older,1
1,car.png,ACTION,drive,90,nonswitch,Dual,1,1197.7,Older,1
1,plane.png,ACTION,fly,7,nonswitch,Dual,1,1207.5,Older,1
1,ladder.png,ACTION,climb,79,nonswitch,Dual,1,1222,Older,1
1,bell.png,ACTION,ring,64,nonswitch,Dual,1,1237.5,Older,1
1,shovel.png,ACTION,dig,71,switch,Dual,1,1243.7,Older,1
1,needle.png,ACTION,sew,34,switch,Dual,1,1260.3,Older,1
1,pen.png,ACTION,write,27,switch,Dual,1,1287,Older,1
1,kettle.png,ACTION,boil,155,nonswitch,Dual,1,1287.7,Older,1
1,dart.png,ACTION,throw,63,nonswitch,Dual,1,1301.1,Older,1
1,bed.png,ACTION,sleep,13,nonswitch,Dual,7,1315.5,Older,1
1,shovel.png,ACTION,dig,51,nonswitch,Dual,1,1320.1,Older,1
1,bed.png,ACTION,sleep,114,switch,Dual,1,1322.3,Older,1
1,car.png,ACTION,drive,107,switch,Dual,1,1350.2,Older,1
1,bell.png,ACTION,ring,22,switch,Dual,1,1362.7,Older,1
1,scissors.png,ACTION,cut,93,nonswitch,Dual,1,1391.9,Older,1
1,dart.png,ACTION,throw,158,switch,Dual,1,1400.5,Older,1
1,pipe.png,ACTION,smoke,66,switch,Dual,1,1403.5,Older,1
1,ladder.png,ACTION,climb,12,switch,Dual,3,1415.7,Older,0
1,shovel.png,ACTION,dig,96,switch,Dual,1,1417.4,Older,1
1,kettle.png,ACTION,boil,62,nonswitch,Dual,1,1435.1,Older,1
1,glass.png,ACTION,drink,10,nonswitch,Dual,7,1442.8,Older,1
1,scissors.png,ACTION,cut,154,switch,Dual,1,1463,Older,1
1,pen.png,ACTION,write,143,nonswitch,Dual,1,1475.9,Older,1
1,pool.png,ACTION,swim,39,nonswitch,Dual,1,1495.9,Older,1
1,pool.png,ACTION,swim,98,nonswitch,Dual,1,1497.2,Older,1
1,keyboard.png,ACTION,type,97,nonswitch,Dual,1,1500.8,Older,1
1,bed.png,ACTION,sleep,78,switch,Dual,1,1554.2,Older,1
1,bell.png,ACTION,ring,146,switch,Dual,1,1556,Older,1
1,needle.png,ACTION,sew,141,switch,Dual,1,1571.5,Older,1
1,ladder.png,ACTION,climb,102,switch,Dual,1,1574.8,Older,1
1,pen.png,ACTION,write,86,switch,Dual,1,1607.2,Older,1
1,razor.png,ACTION,shave,50,switch,Dual,1,1637.5,Older,1
1,keyboard.png,ACTION,type,112,nonswitch,Dual,1,1648.9,Older,1
1,keyboard.png,ACTION,type,2,nonswitch,Dual,1,1679.8,Older,1
1,pool.png,ACTION,swim,43,switch,Dual,1,1713.9,Older,1
1,needle.png,ACTION,sew,74,switch,Dual,1,1729.9,Older,1
1,keyboard.png,ACTION,type,27,SingleNaming,SingleA,1,1790.4,Older,1
1,razor.png,ACTION,shave,136,nonswitch,Dual,1,1793.4,Older,1
1,car.png,ACTION,drive,61,switch,Dual,1,1818.1,Older,1
1,scissors.png,ACTION,cut,6,switch,Dual,1,1847.3,Older,1
1,scissors.png,ACTION,cut,131,nonswitch,Dual,1,1852.8,Older,1
1,kettle.png,ACTION,boil,81,X,Dual,7,1859.8,Older,1
1,glass.png,ACTION,drink,16,switch,Dual,1,1860.9,Older,1
1,axe.png,ACTION,chop,31,switch,Dual,1,1901.8,Older,1
1,kettle.png,ACTION,boil,1,X,Dual,7,1973.5,Older,1
1,axe.png,ACTION,chop,128,nonswitch,Dual,1,1985.6,Older,1
1,football.png,ACTION,kick,148,nonswitch,Dual,1,2029.8,Older,1
1,chair.png,ACTION,sit,9,switch,Dual,3,2212.3,Older,0
1,razor.png,ACTION,shave,111,switch,Dual,1,2212.9,Older,1
1,pen.png,ACTION,write,18,nonswitch,Dual,1,2289.8,Older,1
1,needle.png,ACTION,sew,16,SingleNaming,SingleB,1,2636.7,Older,1
1,scissors.png,OBJECT,scissors,24,SingleNaming,SingleB,1,707.8,Older,1
1,glass.png,OBJECT,glass,23,SingleNaming,SingleB,1,774,Older,1
1,car.png,OBJECT,car,22,SingleNaming,SingleB,1,788.5,Older,1
1,chair.png,OBJECT,chair,37,SingleNaming,SingleB,1,791,Older,1
1,football.png,OBJECT,ball,33,SingleNaming,SingleB,1,825.6,Older,1
1,plane.png,OBJECT,plane,20,SingleNaming,SingleA,1,836.3,Older,1
1,razor.png,OBJECT,razor,34,SingleNaming,SingleB,1,838.3,Older,1
1,bell.png,OBJECT,bell,36,SingleNaming,SingleB,1,840.6,Older,1
1,scissors.png,OBJECT,scissors,18,SingleNaming,SingleA,1,845.7,Older,1
1,pen.png,OBJECT,pen,6,SingleNaming,SingleA,1,856.2,Older,1
1,pipe.png,OBJECT,pipe,21,SingleNaming,SingleB,1,860.2,Older,1
1,chair.png,OBJECT,chair,8,SingleNaming,SingleA,1,860.4,Older,1
1,ladder.png,OBJECT,ladder,19,SingleNaming,SingleA,1,862.9,Older,1
1,needle.png,OBJECT,needle,9,SingleNaming,SingleA,1,865.2,Older,1
1,car.png,OBJECT,car,10,SingleNaming,SingleA,1,866.6,Older,1
1,kettle.png,OBJECT,kettle,31,SingleNaming,SingleB,1,868.1,Older,1
1,bed.png,OBJECT,bed,32,SingleNaming,SingleB,1,869.9,Older,1
1,book.png,OBJECT,book,5,SingleNaming,SingleA,1,887.3,Older,1
1,bell.png,OBJECT,bell,17,SingleNaming,SingleA,1,892.3,Older,1
1,football.png,OBJECT,ball,2,SingleNaming,SingleA,1,916.2,Older,1
1,book.png,OBJECT,book,39,SingleNaming,SingleB,1,917.8,Older,1
1,pen.png,OBJECT,pen,38,SingleNaming,SingleB,1,923.7,Older,1
1,keyboard.png,OBJECT,keyboard,28,SingleNaming,SingleB,1,925,Older,1
1,glass.png,OBJECT,glass,14,SingleNaming,SingleA,1,932.7,Older,1
1,razor.png,OBJECT,razor,16,SingleNaming,SingleA,1,937,Older,1
1,glass.png,OBJECT,glass,117,nonswitch,Dual,1,945.7,Older,1
1,ladder.png,OBJECT,ladder,29,switch,Dual,1,947.2,Older,1
1,keyboard.png,OBJECT,keyboard,3,SingleNaming,SingleA,1,956.4,Older,1
1,pipe.png,OBJECT,pipe,137,switch,Dual,1,960,Older,1
1,pipe.png,OBJECT,pipe,15,SingleNaming,SingleA,1,963.8,Older,1
1,book.png,OBJECT,book,150,nonswitch,Dual,1,970.8,Older,1
1,ladder.png,OBJECT,ladder,30,SingleNaming,SingleB,1,982.1,Older,1
1,plane.png,OBJECT,plane,26,SingleNaming,SingleB,1,985.1,Older,1
1,needle.png,OBJECT,needle,27,SingleNaming,SingleB,1,1004.1,Older,1
1,pen.png,OBJECT,pen,33,switch,Dual,1,1004.8,Older,1
1,chair.png,OBJECT,chair,19,switch,Dual,1,1006.5,Older,1
1,chair.png,OBJECT,chair,25,nonswitch,Dual,1,1007.8,Older,1
1,bed.png,OBJECT,bed,7,SingleNaming,SingleA,1,1010.9,Older,1
1,ladder.png,OBJECT,ladder,60,nonswitch,Dual,1,1019.2,Older,1
1,ladder.png,OBJECT,ladder,115,switch,Dual,1,1022.1,Older,1
1,plane.png,OBJECT,plane,156,switch,Dual,1,1025.9,Older,1
1,glass.png,OBJECT,glass,152,switch,Dual,1,1027.2,Older,1
1,football.png,OBJECT,ball,14,switch,Dual,1,1031.9,Older,1
1,pool.png,OBJECT,pool,35,SingleNaming,SingleB,1,1036.9,Older,1
1,pool.png,OBJECT,pool,140,nonswitch,Dual,1,1045,Older,1
1,bed.png,OBJECT,bed,72,switch,Dual,1,1053.8,Older,1
1,football.png,OBJECT,ball,106,nonswitch,Dual,1,1056,Older,1
1,book.png,OBJECT,book,30,nonswitch,Dual,1,1057.2,Older,1
1,book.png,OBJECT,book,35,switch,Dual,1,1089.5,Older,1
1,scissors.png,OBJECT,scissors,65,switch,Dual,1,1093.6,Older,1
1,pool.png,OBJECT,pool,4,SingleNaming,SingleA,1,1098.5,Older,1
1,plane.png,OBJECT,plane,104,nonswitch,Dual,1,1100.6,Older,1
1,car.png,OBJECT,car,84,nonswitch,Dual,1,1101.4,Older,1
1,bed.png,OBJECT,bed,139,switch,Dual,1,1104.8,Older,1
1,scissors.png,OBJECT,scissors,129,switch,Dual,1,1105.1,Older,1
1,kettle.png,OBJECT,kettle,13,SingleNaming,SingleA,1,1105.8,Older,1
1,bell.png,OBJECT,bell,15,nonswitch,Dual,1,1112.7,Older,1
1,scissors.png,OBJECT,scissors,37,nonswitch,Dual,1,1120.9,Older,1
1,glass.png,OBJECT,glass,41,X,Dual,7,1126.8,Older,1
1,bell.png,OBJECT,bell,94,switch,Dual,1,1127.9,Older,1
1,pen.png,OBJECT,pen,46,nonswitch,Dual,1,1133.8,Older,1
1,bed.png,OBJECT,bed,110,nonswitch,Dual,1,1141.6,Older,1
1,pen.png,OBJECT,pen,91,switch,Dual,1,1164.4,Older,1
1,pipe.png,OBJECT,pipe,24,nonswitch,Dual,1,1194.2,Older,1
1,pipe.png,OBJECT,pipe,11,switch,Dual,1,1198.6,Older,1
1,pen.png,OBJECT,pen,125,nonswitch,Dual,1,1204.6,Older,1
1,kettle.png,OBJECT,kettle,76,switch,Dual,1,1206.1,Older,1
1,kettle.png,OBJECT,kettle,160,switch,Dual,1,1206.1,Older,1
1,chair.png,OBJECT,chair,124,switch,Dual,1,1211.1,Older,1
1,bell.png,OBJECT,bell,116,nonswitch,Dual,1,1212.8,Older,1
1,shovel.png,OBJECT,shovel,29,SingleNaming,SingleB,2,1215.5,Older,0
1,pool.png,OBJECT,pool,36,nonswitch,Dual,1,1225,Older,1
1,dart.png,OBJECT,dart,88,switch,Dual,1,1232.3,Older,1
1,dart.png,OBJECT,dart,40,SingleNaming,SingleB,1,1237.8,Older,1
1,axe.png,OBJECT,axe,25,SingleNaming,SingleB,1,1240.5,Older,1
1,bell.png,OBJECT,bell,59,switch,Dual,1,1251.9,Older,1
1,keyboard.png,OBJECT,keyboard,73,nonswitch,Dual,1,1260.5,Older,1
1,dart.png,OBJECT,dart,77,nonswitch,Dual,1,1262.9,Older,1
1,glass.png,OBJECT,glass,21,nonswitch,Dual,1,1280.1,Older,1
1,axe.png,OBJECT,axe,145,switch,Dual,1,1285.3,Older,1
1,plane.png,OBJECT,plane,53,nonswitch,Dual,1,1285.8,Older,1
1,razor.png,OBJECT,razor,57,switch,Dual,1,1287.8,Older,1
1,razor.png,OBJECT,razor,99,switch,Dual,1,1288.6,Older,1
1,kettle.png,OBJECT,kettle,105,nonswitch,Dual,1,1294.1,Older,1
1,ladder.png,OBJECT,ladder,100,nonswitch,Dual,1,1311.6,Older,1
1,dart.png,OBJECT,dart,122,nonswitch,Dual,1,1320,Older,1
1,pool.png,OBJECT,pool,49,switch,Dual,1,1326.9,Older,1
1,pool.png,OBJECT,pool,149,switch,Dual,1,1333.8,Older,1
1,needle.png,OBJECT,needle,133,nonswitch,Dual,1,1358.4,Older,1
1,axe.png,OBJECT,axe,26,nonswitch,Dual,1,1359.4,Older,1
1,shovel.png,OBJECT,shovel,12,SingleNaming,SingleA,1,1361.1,Older,1
1,dart.png,OBJECT,dart,69,switch,Dual,1,1387.2,Older,1
1,kettle.png,OBJECT,kettle,45,nonswitch,Dual,1,1398.4,Older,1
1,car.png,OBJECT,car,42,nonswitch,Dual,1,1414.7,Older,1
1,keyboard.png,OBJECT,keyboard,83,switch,Dual,1,1421.8,Older,1
1,plane.png,OBJECT,plane,44,switch,Dual,1,1428,Older,1
1,axe.png,OBJECT,axe,11,SingleNaming,SingleA,1,1443.6,Older,1
1,chair.png,OBJECT,chair,85,nonswitch,Dual,1,1446.5,Older,1
1,scissors.png,OBJECT,scissors,126,nonswitch,Dual,1,1451.5,Older,1
1,car.png,OBJECT,car,103,switch,Dual,1,1471.4,Older,1
1,shovel.png,OBJECT,shovel,134,nonswitch,Dual,2,1500.1,Older,0
1,axe.png,OBJECT,axe,101,nonswitch,Dual,1,1511.9,Older,1
1,dart.png,OBJECT,dart,1,SingleNaming,SingleA,1,1521.5,Older,1
1,pipe.png,OBJECT,pipe,95,nonswitch,Dual,1,1526.8,Older,1
1,car.png,OBJECT,car,3,switch,Dual,1,1539.8,Older,1
1,book.png,OBJECT,book,132,switch,Dual,1,1560.5,Older,1
1,razor.png,OBJECT,razor,70,nonswitch,Dual,1,1588,Older,1
1,bed.png,OBJECT,bed,54,nonswitch,Dual,1,1625.7,Older,1
1,keyboard.png,OBJECT,keyboard,153,nonswitch,Dual,1,1685.2,Older,1
1,needle.png,OBJECT,needle,8,switch,Dual,1,1720.3,Older,1
1,needle.png,OBJECT,needle,113,switch,Dual,1,1801.4,Older,1
1,needle.png,OBJECT,needle,20,nonswitch,Dual,1,1821.5,Older,1
1,shovel.png,OBJECT,shovel,4,nonswitch,Dual,2,1838.8,Older,0
1,shovel.png,OBJECT,shovel,80,switch,Dual,2,1849.9,Older,0
1,football.png,OBJECT,ball,5,nonswitch,Dual,1,1972,Older,1
1,keyboard.png,OBJECT,keyboard,23,switch,Dual,1,2044.4,Older,1
1,axe.png,OBJECT,axe,52,switch,Dual,1,2143.2,Older,1
1,football.png,OBJECT,ball,121,X,Dual,7,2169.6,Older,1
1,shovel.png,OBJECT,shovel,109,switch,Dual,2,2236.6,Older,0
1,razor.png,OBJECT,razor,157,nonswitch,Dual,1,2297.6,Older,1
2,pen.png,ACTION,write,9,SingleNaming,SingleB,1,660.2,Younger,1
2,keyboard.png,ACTION,type,112,nonswitch,Dual,1,738.1,Younger,1
2,football.png,ACTION,kick,8,SingleNaming,SingleB,1,775.8,Younger,1
2,shovel.png,ACTION,dig,20,SingleNaming,SingleB,1,800.1,Younger,1
2,needle.png,ACTION,sew,16,SingleNaming,SingleB,1,820.1,Younger,1
2,dart.png,ACTION,throw,36,SingleNaming,SingleA,1,822.3,Younger,1
2,chair.png,ACTION,sit,23,SingleNaming,SingleA,1,827.7,Younger,1
2,bed.png,ACTION,sleep,18,SingleNaming,SingleB,1,833.4,Younger,1
2,ladder.png,ACTION,climb,15,SingleNaming,SingleB,1,846.4,Younger,1
2,bell.png,ACTION,ring,19,SingleNaming,SingleB,1,853.6,Younger,1
2,book.png,ACTION,read,17,SingleNaming,SingleB,1,861.6,Younger,1
2,plane.png,ACTION,fly,33,SingleNaming,SingleA,1,876.5,Younger,1
2,car.png,ACTION,drive,32,SingleNaming,SingleA,1,878.6,Younger,1
2,scissors.png,ACTION,cut,30,SingleNaming,SingleA,1,881.5,Younger,1
2,bed.png,ACTION,sleep,82,nonswitch,Dual,1,944.6,Younger,1
2,glass.png,ACTION,drink,14,SingleNaming,SingleB,1,951.5,Younger,1
2,needle.png,ACTION,sew,21,SingleNaming,SingleA,1,956.3,Younger,1
2,bed.png,ACTION,sleep,38,SingleNaming,SingleA,1,961.2,Younger,1
2,pipe.png,ACTION,smoke,1,SingleNaming,SingleB,1,971.7,Younger,1
2,pool.png,ACTION,swim,11,SingleNaming,SingleB,1,976.1,Younger,1
2,pool.png,ACTION,swim,31,SingleNaming,SingleA,1,979,Younger,1
2,pen.png,ACTION,write,86,switch,Dual,1,981.3,Younger,1
2,chair.png,ACTION,sit,144,nonswitch,Dual,1,988.8,Younger,1
2,pen.png,ACTION,write,27,switch,Dual,1,996.4,Younger,1
2,chair.png,ACTION,sit,3,SingleNaming,SingleB,1,998.4,Younger,1
2,pool.png,ACTION,swim,98,nonswitch,Dual,1,1010.5,Younger,1
2,scissors.png,ACTION,cut,10,SingleNaming,SingleB,1,1013.2,Younger,1
2,book.png,ACTION,read,37,SingleNaming,SingleA,1,1025.7,Younger,1
2,razor.png,ACTION,shave,6,SingleNaming,SingleB,1,1028.3,Younger,1
2,pen.png,ACTION,write,29,SingleNaming,SingleA,1,1031.6,Younger,1
2,shovel.png,ACTION,dig,40,SingleNaming,SingleA,1,1033.7,Younger,1
2,pool.png,ACTION,swim,39,nonswitch,Dual,1,1034.8,Younger,1
2,football.png,ACTION,kick,35,SingleNaming,SingleA,1,1044.8,Younger,1
2,dart.png,ACTION,throw,4,SingleNaming,SingleB,1,1047.9,Younger,1
2,axe.png,ACTION,chop,22,SingleNaming,SingleA,1,1049.6,Younger,1
2,plane.png,ACTION,fly,147,nonswitch,Dual,1,1049.7,Younger,1
2,book.png,ACTION,read,28,nonswitch,Dual,1,1055.7,Younger,1
2,pipe.png,ACTION,smoke,28,SingleNaming,SingleA,1,1066.7,Younger,1
2,kettle.png,ACTION,boil,5,SingleNaming,SingleB,1,1070.9,Younger,1
2,scissors.png,ACTION,cut,93,nonswitch,Dual,1,1083.2,Younger,1
2,ladder.png,ACTION,climb,102,switch,Dual,1,1084.7,Younger,1
2,plane.png,ACTION,fly,13,SingleNaming,SingleB,1,1090.4,Younger,1
2,pipe.png,ACTION,smoke,89,switch,Dual,1,1096.5,Younger,1
2,plane.png,ACTION,fly,58,switch,Dual,1,1105.1,Younger,1
2,pool.png,ACTION,swim,43,switch,Dual,1,1113.6,Younger,1
2,axe.png,ACTION,chop,127,switch,Dual,2,1121.9,Younger,0
2,ladder.png,ACTION,climb,26,SingleNaming,SingleA,1,1141.1,Younger,1
2,keyboard.png,ACTION,type,108,nonswitch,Dual,1,1154,Younger,1
2,plane.png,ACTION,fly,7,nonswitch,Dual,1,1156.3,Younger,1
2,car.png,ACTION,drive,12,SingleNaming,SingleB,1,1160.5,Younger,1
2,kettle.png,ACTION,boil,155,nonswitch,Dual,1,1161.8,Younger,1
2,bed.png,ACTION,sleep,114,switch,Dual,1,1162.6,Younger,1
2,razor.png,ACTION,shave,39,SingleNaming,SingleA,1,1164.8,Younger,1
2,car.png,ACTION,drive,75,nonswitch,Dual,1,1164.8,Younger,1
2,pipe.png,ACTION,smoke,159,nonswitch,Dual,1,1165.2,Younger,1
2,pipe.png,ACTION,smoke,17,nonswitch,Dual,1,1165.6,Younger,1
2,pen.png,ACTION,write,143,nonswitch,Dual,1,1173.3,Younger,1
2,keyboard.png,ACTION,type,7,SingleNaming,SingleB,1,1185.9,Younger,1
2,book.png,ACTION,read,87,nonswitch,Dual,1,1190.4,Younger,1
2,bed.png,ACTION,sleep,13,nonswitch,Dual,1,1191.5,Younger,1
2,football.png,ACTION,kick,55,switch,Dual,1,1207.1,Younger,1
2,keyboard.png,ACTION,type,27,SingleNaming,SingleA,1,1208.1,Younger,1
2,shovel.png,ACTION,dig,71,switch,Dual,1,1214.6,Younger,1
2,football.png,ACTION,kick,148,nonswitch,Dual,1,1218.7,Younger,1
2,razor.png,ACTION,shave,111,switch,Dual,1,1220.3,Younger,1
2,needle.png,ACTION,sew,141,switch,Dual,1,1225.1,Younger,1
2,ladder.png,ACTION,climb,142,nonswitch,Dual,1,1225.1,Younger,1
2,book.png,ACTION,read,47,switch,Dual,1,1228.8,Younger,1
2,dart.png,ACTION,throw,158,switch,Dual,1,1241.6,Younger,1
2,bell.png,ACTION,ring,22,switch,Dual,1,1244.3,Younger,1
2,shovel.png,ACTION,dig,118,switch,Dual,1,1250.1,Younger,1
2,bell.png,ACTION,ring,64,nonswitch,Dual,1,1283.4,Younger,1
2,chair.png,ACTION,sit,32,nonswitch,Dual,1,1297.1,Younger,1
2,scissors.png,ACTION,cut,131,nonswitch,Dual,1,1300.4,Younger,1
2,scissors.png,ACTION,cut,154,switch,Dual,1,1309.9,Younger,1
2,ladder.png,ACTION,climb,12,switch,Dual,1,1325.8,Younger,1
2,football.png,ACTION,kick,48,nonswitch,Dual,1,1331.2,Younger,1
2,bell.png,ACTION,ring,24,SingleNaming,SingleA,1,1335.3,Younger,1
2,car.png,ACTION,drive,107,switch,Dual,1,1339.7,Younger,1
2,keyboard.png,ACTION,type,97,nonswitch,Dual,1,1344,Younger,1
2,glass.png,ACTION,drink,135,switch,Dual,1,1356.8,Younger,1
2,needle.png,ACTION,sew,40,nonswitch,Dual,1,1373.1,Younger,1
2,ladder.png,ACTION,climb,79,nonswitch,Dual,1,1388.2,Younger,1
2,chair.png,ACTION,sit,9,switch,Dual,1,1391.6,Younger,1
2,bed.png,ACTION,sleep,78,switch,Dual,1,1413.3,Younger,1
2,pool.png,ACTION,swim,138,switch,Dual,1,1420.8,Younger,1
2,kettle.png,ACTION,boil,25,SingleNaming,SingleA,1,1438.3,Younger,1
2,book.png,ACTION,read,123,switch,Dual,1,1439.1,Younger,1
2,chair.png,ACTION,sit,92,switch,Dual,1,1476.8,Younger,1
2,pen.png,ACTION,write,18,nonswitch,Dual,1,1527.8,Younger,1
2,car.png,ACTION,drive,61,switch,Dual,1,1532.6,Younger,1
2,keyboard.png,ACTION,type,2,nonswitch,Dual,1,1545.9,Younger,1
2,shovel.png,ACTION,dig,96,switch,Dual,1,1557.2,Younger,1
2,axe.png,ACTION,chop,56,nonswitch,Dual,2,1586,Younger,0
2,car.png,ACTION,drive,90,nonswitch,Dual,1,1599.4,Younger,1
2,scissors.png,ACTION,cut,6,switch,Dual,1,1621.1,Younger,1
2,kettle.png,ACTION,boil,62,nonswitch,Dual,1,1624.8,Younger,1
2,bell.png,ACTION,ring,68,nonswitch,Dual,1,1634.1,Younger,1
2,dart.png,ACTION,throw,63,nonswitch,Dual,1,1653.8,Younger,1
2,bell.png,ACTION,ring,146,switch,Dual,1,1668.5,Younger,1
2,glass.png,ACTION,drink,120,nonswitch,Dual,1,1681.1,Younger,1
2,shovel.png,ACTION,dig,51,nonswitch,Dual,7,1689.6,Younger,1
2,plane.png,ACTION,fly,130,switch,Dual,1,1719.5,Younger,1
2,axe.png,ACTION,chop,128,nonswitch,Dual,2,1743.6,Younger,0
2,needle.png,ACTION,sew,34,switch,Dual,1,1749.3,Younger,1
2,kettle.png,ACTION,boil,81,X,Dual,7,1787.7,Younger,1
2,pipe.png,ACTION,smoke,66,switch,Dual,1,1789.1,Younger,1
2,dart.png,ACTION,throw,38,switch,Dual,1,1812.9,Younger,1
2,football.png,ACTION,kick,151,switch,Dual,1,1819.2,Younger,1
2,razor.png,ACTION,shave,136,nonswitch,Dual,1,1868.1,Younger,1
2,axe.png,ACTION,chop,31,switch,Dual,2,1884.1,Younger,0
2,axe.png,ACTION,chop,2,SingleNaming,SingleB,1,1888.8,Younger,1
2,glass.png,ACTION,drink,34,SingleNaming,SingleA,1,1891.7,Younger,1
2,glass.png,ACTION,drink,16,switch,Dual,1,1905,Younger,1
